day,Reached_SS,Obs Data Perc,0.09_Prop_base_Perc,0.09_Prop_DoseAdjust3_Perc,0.09_JohnHop_base_Perc,Prop_Start_Day_4,Prop_Start_Day_4_1,Prop_Start_Day_4_2,Prop_Start_Day_4_adjust_every2days,Prop_Start_Day_4_adjust_every2days_1,John_Start_Day_4_adjust_every2days,John_Start_Day_4_adjust_every2days_1,Prop_2Dayadjust,Prop_2Dayadjust_7mg,0.07_Prop_DoseAdjust3_every2_7mg_Perc,Prop_2Dayadjust_per2day_7mg,Prop_2Dayadjust_per2day_8,John_2Dayadjust_per2day_9,John_2Dayadjust_per2day_9_1,Prop_2Dayadjust_per2day_9,Prop_2Dayadjust_per2day_9_1,Prop_2Dayadjust_per2day_9_2
1.0,Yes,1.653,6.557,6.557,6.557,6.557,6.557,6.557,6.557,6.557,6.557,6.557,6.557,1.639,1.639,1.639,2.459,6.557,6.557,6.557,6.557,6.557
2.0,Yes,0.8264,11.48,11.48,11.48,11.48,11.48,11.48,11.48,11.48,11.48,11.48,11.48,9.016,12.3,9.016,11.48,11.48,11.48,11.48,11.48,11.48
3.0,Yes,8.264,15.57,30.33,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,23.77,17.21,17.21,17.21,19.67,23.77,15.57,23.77,23.77,18.03
4.0,Yes,20.66,24.59,10.66,26.23,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31,30.33,20.49,30.33,22.95,21.31,27.05,19.67,19.67,17.21
5.0,Yes,21.49,19.67,3.279,27.87,13.11,13.11,13.11,13.11,13.11,10.66,10.66,15.57,30.33,20.49,30.33,20.49,18.85,17.21,17.21,17.21,13.93
6.0,Yes,20.66,9.836,4.098,12.3,27.87,27.87,27.87,27.87,27.87,10.66,25.41,18.85,27.05,20.49,24.59,25.41,24.59,17.21,22.95,22.95,7.377
7.0,Yes,25.62,8.197,9.836,9.836,21.31,21.31,21.31,21.31,21.31,18.85,22.13,24.59,28.69,29.51,27.87,29.51,24.59,27.87,18.03,18.03,12.3
8.0,Yes,24.79,13.93,18.85,10.66,20.49,20.49,20.49,17.21,17.21,27.05,17.21,29.51,31.97,36.07,34.43,34.43,25.41,22.95,22.95,22.95,19.67
9.0,Yes,23.14,18.03,31.15,12.3,18.85,18.85,18.85,22.13,22.13,27.05,19.67,40.16,38.52,36.89,38.52,40.98,31.97,27.87,25.41,25.41,31.97
10.0,Yes,25.62,27.05,42.62,16.39,31.15,31.15,31.15,31.97,31.97,23.77,24.59,42.62,40.98,39.34,44.26,42.62,36.89,31.97,36.07,36.07,37.7
12.0,Yes,29.75,42.62,56.56,30.33,43.44,43.44,43.44,48.36,48.36,32.79,31.97,50.0,55.74,55.74,52.46,56.56,47.54,41.8,51.64,51.64,51.64
14.0,Yes,36.36,53.28,57.38,38.52,48.36,48.36,48.36,59.02,59.02,39.34,36.89,54.1,58.2,50.0,51.64,51.64,45.9,42.62,58.2,58.2,62.3
